"","name","country","birthday","starting_number","speed","distance","distance_points","mark_A","mark_B","mark_C","mark_D","mark_E","style_points","gate","gate_points","wind_speed","wind_points","total_points","rank","series_number","total_points_all_jumps","competition_code","hill_code","year","competition_number","k","hs","full_name"
"243","KOS Lovro","KOS","23 JUL 1999","30","90.7","131.5","71.7","18.0","18.0","18.0","18.0","18.0","54.0","14","","-0.70","11.0","136.7","11.","1","263.5","4","eng","2022","2",125,140,"Engleberg"
"244","KOS Lovro","KOS","23 JUL 1999","30","90.0","131.5","71.7","18.0","18.0","18.0","18.5","18.5","54.5","13","","-0.04","0.6","126.8","12.","2","263.5","4","eng","2022","2",125,140,"Engleberg"
"245","LINDVIK Marius","NOR","27 JUN 1998","47","90.4","137.0","81.6","18.5","18.5","18.5","18.5","18.5","55.5","14","","-0.06","0.9","138.0","9.","1","262.7","4","eng","2022","2",125,140,"Engleberg"
"246","LINDVIK Marius","NOR","27 JUN 1998","47","89.8","130.0","69.0","18.0","17.5","18.0","18.0","18.0","54.0","13","","-0.11","1.7","124.7","14.","2","262.7","4","eng","2022","2",125,140,"Engleberg"
"247","PREVC Peter","SLO","20 SEP 1992","37","91.1","127.5","64.5","17.5","17.5","18.0","18.5","18.5","54.0","14","","-0.79","12.4","130.9","14.","1","258.1","4","eng","2022","2",125,140,"Engleberg"
"248","PREVC Peter","SLO","20 SEP 1992","37","90.2","131.0","70.8","18.5","18.0","18.0","18.5","18.5","55.0","13","","-0.09","1.4","127.2","11.","2","258.1","4","eng","2022","2",125,140,"Engleberg"
"249","PASCHKE Pius","GER","20 MAY 1990","49","90.4","133.5","75.3","18.5","18.0","18.5","18.5","18.5","55.5","14","","-0.35","5.5","136.3","12.","1","258.0","4","eng","2022","2",125,140,"Engleberg"
"250","PASCHKE Pius","GER","20 MAY 1990","49","89.8","129.0","67.2","18.0","17.5","18.0","18.0","18.0","54.0","13","","-0.03","0.5","121.7","18.","2","258.0","4","eng","2022","2",125,140,"Engleberg"
"251","HOERL Jan","AUT","16 OCT 1998","39","90.6","120.5","51.9","17.5","17.5","17.5","17.5","17.5","52.5","14","","-1.10","17.2","121.6","25.","1","257.9","4","eng","2022","2",125,140,"Engleberg"
"252","HOERL Jan","AUT","16 OCT 1998","39","90.0","133.5","75.3","18.5","18.5","18.5","18.5","18.0","55.5","13","","-0.35","5.5","136.3","8.","2","257.9","4","eng","2022","2",125,140,"Engleberg"
"253","JELAR Ziga","SLO","22 OCT 1997","32","91.2","133.0","74.4","18.5","18.5","18.5","18.5","18.5","55.5","14","","-0.25","3.9","133.8","13.","1","256.9","4","eng","2022","2",125,140,"Engleberg"
"254","JELAR Ziga","SLO","22 OCT 1997","32","90.6","128.0","65.4","18.5","18.0","18.5","18.5","18.5","55.5","13","","-0.14","2.2","123.1","17.","2","256.9","4","eng","2022","2",125,140,"Engleberg"
"255","TSCHOFENIG Daniel","AUT","28 MAR 2002","46","91.1","123.5","57.3","18.0","17.5","18.0","18.0","18.0","54.0","14","","-0.78","12.2","123.5","22.","1","250.1","4","eng","2022","2",125,140,"Engleberg"
"256","TSCHOFENIG Daniel","AUT","28 MAR 2002","46","90.3","131.0","70.8","17.5","18.0","18.0","18.5","18.5","54.5","13","","-0.08","1.3","126.6","13.","2","250.1","4","eng","2022","2",125,140,"Engleberg"
"257","ASCHENWALD Philipp","AUT","12 NOV 1995","34","91.0","129.0","67.2","18.0","18.0","18.0","18.0","18.0","54.0","14","","-0.29","4.5","125.7","18.","1","249.8","4","eng","2022","2",125,140,"Engleberg"
"258","ASCHENWALD Philipp","AUT","12 NOV 1995","34","90.2","128.5","66.3","18.0","18.0","18.0","18.0","18.0","54.0","13","","-0.24","3.8","124.1","16.","2","249.8","4","eng","2022","2",125,140,"Engleberg"
"259","WELLINGER Andreas","GER","28 AUG 1995","41","91.2","127.0","63.6","17.5","18.0","17.5","18.0","18.5","53.5","14","","-0.54","8.5","125.6","19.","1","243.1","4","eng","2022","2",125,140,"Engleberg"
"260","SCHMID Constantin","GER","27 NOV 1999","35","91.3","127.5","64.5","17.5","17.5","17.5","18.0","18.0","53.0","14","","-0.61","9.6","127.1","17.","1","241.6","4","eng","2022","2",125,140,"Engleberg"
"261","SCHMID Constantin","GER","27 NOV 1999","35","90.7","125.0","60.0","18.0","18.0","17.5","18.0","18.5","54.0","13","","-0.03","0.5","114.5","21.","2","241.6","4","eng","2022","2",125,140,"Engleberg"
"262","PREVC Domen","SLO","4 JUN 1999","28","91.0","123.0","56.4","17.5","17.0","17.5","17.5","17.5","52.5","14","","-0.69","10.8","119.7","30.","1","239.6","4","eng","2022","2",125,140,"Engleberg"
"263","PREVC Domen","SLO","4 JUN 1999","28","90.2","128.0","65.4","17.5","18.0","18.0","18.0","18.0","54.0","13","","-0.03","0.5","119.9","19.","2","239.6","4","eng","2022","2",125,140,"Engleberg"
"264","LEYHE Stephan","GER","5 JAN 1992","31","91.1","129.0","67.2","18.0","18.0","18.5","18.0","18.0","54.0","14","","-0.52","8.1","129.3","15.","1","239.1","4","eng","2022","2",125,140,"Engleberg"
"265","LEYHE Stephan","GER","5 JAN 1992","31","90.6","123.0","56.4","17.5","17.5","17.5","17.5","17.5","52.5","13","","-0.06","0.9","109.8","23.","2","239.1","4","eng","2022","2",125,140,"Engleberg"
"266","KYTOSAHO Niko","FIN","18 DEC 1999","22","90.7","125.0","60.0","17.0","17.0","17.0","17.5","17.5","51.5","14","","-0.67","10.5","122.0","23.","1","235.2","4","eng","2022","2",125,140,"Engleberg"
"267","KYTOSAHO Niko","FIN","18 DEC 1999","22","89.9","125.5","60.9","17.5","17.5","17.5","17.5","17.5","52.5","13","","0.02","-0.2","113.2","22.","2","235.2","4","eng","2022","2",125,140,"Engleberg"
"268","SUNDAL Kristoffer","NOR","7 FEB 2001","29","90.5","126.0","61.8","17.5","17.5","17.5","17.5","17.5","52.5","14","","-0.38","6.0","120.3","29.","1","229.4","4","eng","2022","2",125,140,"Engleberg"
"269","SUNDAL Kristoffer","NOR","7 FEB 2001","29","89.7","121.0","52.8","17.0","17.0","17.5","18.0","18.0","52.5","13","","-0.24","3.8","109.1","24.","2","229.4","4","eng","2022","2",125,140,"Engleberg"
"270","DESCHWANDEN Gregor","SUI","27 FEB 1991","18","91.0","124.5","59.1","17.5","17.5","18.0","17.5","18.0","53.0","14","","-0.53","8.3","120.4","28.","1","229.4","4","eng","2022","2",125,140,"Engleberg"
"271","DESCHWANDEN Gregor","SUI","27 FEB 1991","18","90.2","119.5","50.1","17.0","17.5","17.5","17.5","17.5","52.5","13","","-0.41","6.4","109.0","25.","2","229.4","4","eng","2022","2",125,140,"Engleberg"
"272","MUELLER Markus","AUT","17 JUL 2002","20","90.7","126.0","61.8","17.5","17.5","17.0","18.0","17.5","52.5","14","","-0.69","10.8","125.1","21.","1","224.9","4","eng","2022","2",125,140,"Engleberg"
"273","MUELLER Markus","AUT","17 JUL 2002","20","89.7","116.5","44.7","17.0","17.0","17.0","16.5","17.5","51.0","13","","-0.26","4.1","99.8","27.","2","224.9","4","eng","2022","2",125,140,"Engleberg"
"274","HEGGLI Bendik","NOR","14 OCT 2001","27","90.5","126.0","61.8","17.0","17.0","17.0","17.0","17.5","51.0","14","","-0.79","12.4","125.2","20.","1","223.7","4","eng","2022","2",125,140,"Engleberg"
"275","HEGGLI Bendik","NOR","14 OCT 2001","27","89.7","114.0","40.2","17.0","16.5","16.5","17.0","17.0","50.5","13","","-0.50","7.8","98.5","29.","2","223.7","4","eng","2022","2",125,140,"Engleberg"
"276","ZOGRAFSKI Vladimir","BUL","14 JUL 1993","26","90.5","126.5","62.7","17.5","17.5","17.5","17.0","17.0","52.0","14","","-0.45","7.0","121.7","24.","1","221.0","4","eng","2022","2",125,140,"Engleberg"
"277","ZOGRAFSKI Vladimir","BUL","14 JUL 1993","26","89.8","120.5","51.9","17.0","16.0","16.0","16.0","16.5","48.5","13","","0.11","-1.1","99.3","28.","2","221.0","4","eng","2022","2",125,140,"Engleberg"
"278","KOBAYASHI Ryoyu","JPN","8 NOV 1996","44","90.6","123.0","56.4","17.5","17.5","17.5","17.5","17.5","52.5","14","","-0.60","9.4","118.3","31.","1","118.3","4","eng","2022","2",125,140,"Engleberg"
"279","FORFANG Johann","NOR","4 JUL 1995","38","90.8","120.0","51.0","17.0","17.0","16.5","17.0","17.5","51.0","14","","-0.73","11.4","113.4","32.","1","113.4","4","eng","2022","2",125,140,"Engleberg"
"280","ZAJC Timi","SLO","26 APR 2000","40","90.8","118.5","48.3","17.5","17.5","17.5","17.5","18.0","52.5","14","","-0.78","12.2","113.0","33.","1","113.0","4","eng","2022","2",125,140,"Engleberg"
"281","MALTSEV Kevin","EST","4 JUL 2000","1","90.5","122.0","54.6","17.0","17.0","17.0","17.0","17.0","51.0","14","","-0.38","6.0","111.6","34.","1","111.6","4","eng","2022","2",125,140,"Engleberg"
"282","INSAM Alex","ITA","19 DEC 1997","14","90.9","120.0","51.0","16.5","16.5","17.0","16.5","17.5","50.0","14","","-0.46","7.2","108.2","35.","1","108.2","4","eng","2022","2",125,140,"Engleberg"
"283","NAKAMURA Naoki","JPN","19 SEP 1996","42","90.6","117.0","45.6","17.5","17.5","17.5","17.5","17.0","52.5","14","","-0.61","9.6","107.7","36.","1","107.7","4","eng","2022","2",125,140,"Engleberg"
"284","ZNISZCZOL Aleksander","POL","8 MAR 1994","16","90.8","119.5","50.1","16.5","16.5","16.5","17.0","17.0","50.0","14","","-0.22","3.4","103.5","37.","1","103.5","4","eng","2022","2",125,140,"Engleberg"
"285","KOBAYASHI Junshiro","JPN","11 JUN 1991","23","90.5","115.5","42.9","16.5","16.5","16.5","17.0","17.0","50.0","14","","-0.66","10.3","103.2","38.","1","103.2","4","eng","2022","2",125,140,"Engleberg"
"286","STOCH Kamil","POL","25 MAY 1987","45","90.4","117.5","46.5","16.5","16.0","15.5","15.5","16.0","47.5","14","","-0.50","7.8","101.8","39.","1","101.8","4","eng","2022","2",125,140,"Engleberg"
"287","CECON Francesco","ITA","13 NOV 2001","12","90.5","114.0","40.2","16.5","16.0","16.0","16.0","16.0","48.0","14","","-0.83","13.0","101.2","40.","1","101.2","4","eng","2022","2",125,140,"Engleberg"
"288","VASSILYEV Danil","KAZ","22 JUL 2004","15","90.4","118.5","48.3","16.5","17.0","16.5","17.0","17.5","50.5","14","","-0.02","0.3","99.1","41.","1","99.1","4","eng","2022","2",125,140,"Engleberg"
"289","PETER Dominik","SUI","30 MAY 2001","6","91.0","107.5","28.5","16.5","16.5","17.0","17.0","17.0","50.5","14","","-1.14","17.9","96.9","42.","1","96.9","4","eng","2022","2",125,140,"Engleberg"
"290","SATO Yukiya","JPN","19 JUN 1995","24","90.3","112.5","37.5","16.5","16.5","16.5","16.5","17.0","49.5","14","","-0.39","6.1","93.1","43.","1","93.1","4","eng","2022","2",125,140,"Engleberg"
"291","SATO Keiichi","JPN","27 JUL 1997","4","90.4","110.0","33.0","16.5","16.5","16.5","16.0","16.5","49.5","14","","-0.68","10.6","93.1","43.","1","93.1","4","eng","2022","2",125,140,"Engleberg"
"292","CLOWES Mackenzie","CAN","13 JUL 1991","19","91.2","110.5","33.9","16.5","16.5","17.0","17.0","17.0","50.5","14","","-0.53","8.3","92.7","45.","1","92.7","4","eng","2022","2",125,140,"Engleberg"
"293","PEIER Killian","SUI","28 MAR 1995","9","90.9","109.0","31.2","15.5","15.5","15.5","15.5","15.5","46.5","14","","-0.96","15.0","92.7","45.","1","92.7","4","eng","2022","2",125,140,"Engleberg"
"294","NIKAIDO Ren","JPN","24 MAY 2001","17","90.5","113.5","39.3","16.5","17.0","16.5","16.5","17.0","50.0","14","","-0.19","3.0","92.3","47.","1","92.3","4","eng","2022","2",125,140,"Engleberg"
"295","MUMINOV Sabirzhan","KAZ","16 APR 1994","3","90.5","110.5","33.9","16.5","16.5","16.5","16.5","16.5","49.5","14","","-0.53","8.3","91.7","48.","1","91.7","4","eng","2022","2",125,140,"Engleberg"
"296","DEAN Decker","USA","8 AUG 2000","10","91.0","105.0","24.0","16.0","16.0","16.0","16.5","16.5","48.5","14","","-0.99","15.5","88.0","49.","1","88.0","4","eng","2022","2",125,140,"Engleberg"
"297","PASCHKE Pius","GER","20 MAY 1990","47","90.8","135.0","78.0","17.5","18.0","18.0","17.5","17.5","53.0","16","10.3","-0.97","15.2","156.5","6.","1","316.8","5","eng","2023","1",125,140,"Engleberg"
"298","PASCHKE Pius","GER","20 MAY 1990","47","90.4","135.0","78.0","19.0","18.5","19.0","18.5","18.5","56.0","15","10.3","-1.02","16.0","160.3","1.","2","316.8","5","eng","2023","1",125,140,"Engleberg"
"299","LINDVIK Marius","NOR","27 JUN 1998","36","90.9","138.0","83.4","18.5","18.5","18.0","19.0","18.5","55.5","16","10.3","-0.79","12.4","161.6","3.","1","315.1","5","eng","2023","1",125,140,"Engleberg"
"300","LINDVIK Marius","NOR","27 JUN 1998","36","90.3","135.5","78.9","18.5","19.0","18.5","19.0","18.5","56.0","15","10.3","-0.53","8.3","153.5","6.","2","315.1","5","eng","2023","1",125,140,"Engleberg"
"301","KRAFT Stefan","AUT","13 MAY 1993","50","90.9","131.0","70.8","18.5","18.5","18.5","18.0","18.5","55.5","16","10.3","-1.41","22.1","158.7","4.","1","313.3","5","eng","2023","1",125,140,"Engleberg"
"302","KRAFT Stefan","AUT","13 MAY 1993","50","90.5","132.5","73.5","18.5","18.5","18.0","18.0","18.5","55.0","15","10.3","-1.01","15.8","154.6","4.","2","313.3","5","eng","2023","1",125,140,"Engleberg"
"303","GRANERUD Halvor","NOR","29 MAY 1996","35","90.6","135.0","78.0","18.5","18.0","18.5","19.0","18.0","55.0","16","10.3","-0.75","11.7","155.0","8.","1","307.3","5","eng","2023","1",125,140,"Engleberg"
"304","GRANERUD Halvor","NOR","29 MAY 1996","35","90.2","132.0","72.6","18.5","18.5","18.5","18.5","18.5","55.5","15","10.3","-0.89","13.9","152.3","7.","2","307.3","5","eng","2023","1",125,140,"Engleberg"
"305","LANISEK Anze","SLO","20 APR 1996","42","90.9","131.5","71.7","18.5","18.5","18.0","18.5","18.5","55.5","16","10.3","-1.18","18.5","156.0","7.","1","306.8","5","eng","2023","1",125,140,"Engleberg"
"306","LANISEK Anze","SLO","20 APR 1996","42","90.4","131.5","71.7","19.0","18.5","18.5","18.5","18.5","55.5","15","10.3","-0.85","13.3","150.8","8.","2","306.8","5","eng","2023","1",125,140,"Engleberg"
"307","FORFANG Johann","NOR","4 JUL 1995","33","90.8","138.0","83.4","18.5","18.0","18.0","18.5","18.5","55.0","17","5.1","-0.37","5.8","149.3","10.","1","305.0","5","eng","2023","1",125,140,"Engleberg"
"308","FORFANG Johann","NOR","4 JUL 1995","33","90.4","143.5","93.3","19.0","18.5","18.5","18.5","19.0","56.0","16","5.1","-0.08","1.3","155.7","2.","2","305.0","5","eng","2023","1",125,140,"Engleberg"
"309","SUNDAL Kristoffer","NOR","7 FEB 2001","25","91.5","139.0","85.2","18.5","18.5","18.5","18.5","18.5","55.5","18","","-1.13","17.7","158.4","5.","1","304.4","5","eng","2023","1",125,140,"Engleberg"
"310","SUNDAL Kristoffer","NOR","7 FEB 2001","25","90.1","127.5","64.5","18.0","18.0","18.0","18.0","18.0","54.0","15","10.3","-1.10","17.2","146.0","11.","2","304.4","5","eng","2023","1",125,140,"Engleberg"
"311","DESCHWANDEN Gregor","SUI","27 FEB 1991","41","91.2","129.5","68.1","18.0","18.0","18.0","18.0","17.5","54.0","16","10.3","-1.04","16.3","148.7","11.","1","303.3","5","eng","2023","1",125,140,"Engleberg"
"312","DESCHWANDEN Gregor","SUI","27 FEB 1991","41","91.5","140.0","87.0","18.5","18.5","18.5","18.0","18.5","55.5","17","","-0.77","12.1","154.6","4.","2","303.3","5","eng","2023","1",125,140,"Engleberg"
"313","ZAJC Timi","SLO","26 APR 2000","37","90.9","136.0","79.8","18.5","18.5","18.5","19.0","19.0","56.0","16","10.3","-0.48","7.5","153.6","9.","1","302.1","5","eng","2023","1",125,140,"Engleberg"
"314","ZAJC Timi","SLO","26 APR 2000","37","90.3","133.0","74.4","19.0","18.5","18.0","18.5","19.0","56.0","15","10.3","-0.50","7.8","148.5","10.","2","302.1","5","eng","2023","1",125,140,"Engleberg"
"315","HAYBOECK Michael","AUT","5 MAR 1991","40","91.2","134.5","77.1","18.5","18.0","18.0","18.5","18.5","55.0","16","10.3","-1.27","19.9","162.3","2.","1","300.6","5","eng","2023","1",125,140,"Engleberg"
"316","HAYBOECK Michael","AUT","5 MAR 1991","40","90.3","128.0","65.4","18.0","18.0","18.0","17.5","18.0","54.0","15","10.3","-0.55","8.6","138.3","19.","2","300.6","5","eng","2023","1",125,140,"Engleberg"
"317","FETTNER Manuel","AUT","17 JUN 1985","38","90.3","130.5","69.9","18.0","18.0","18.0","18.0","17.5","54.0","16","10.3","-0.88","13.8","148.0","12.","1","298.1","5","eng","2023","1",125,140,"Engleberg"
"318","FETTNER Manuel","AUT","17 JUN 1985","38","91.0","138.0","83.4","18.0","17.5","18.0","18.0","17.0","53.5","17","","-0.84","13.2","150.1","9.","2","298.1","5","eng","2023","1",125,140,"Engleberg"
"319","WELLINGER Andreas","GER","28 AUG 1995","49","91.5","133.0","74.4","19.0","18.5","18.5","18.5","19.0","56.0","16","10.3","-1.45","22.7","163.4","1.","1","297.1","5","eng","2023","1",125,140,"Engleberg"
"320","WELLINGER Andreas","GER","28 AUG 1995","49","90.9","121.5","53.7","17.5","18.0","17.5","17.5","17.5","52.5","15","10.3","-1.10","17.2","133.7","22.","2","297.1","5","eng","2023","1",125,140,"Engleberg"
"321","KOBAYASHI Ryoyu","JPN","8 NOV 1996","45","90.8","124.0","58.2","17.5","17.0","17.0","17.0","17.5","51.5","16","10.3","-1.43","22.4","142.4","21.","1","297.1","5","eng","2023","1",125,140,"Engleberg"
"322","KOBAYASHI Ryoyu","JPN","8 NOV 1996","45","91.4","136.5","80.7","18.5","18.0","18.0","18.0","18.0","54.0","17","","-1.28","20.0","154.7","3.","2","297.1","5","eng","2023","1",125,140,"Engleberg"
"323","HOERL Jan","AUT","16 OCT 1998","46","90.8","128.0","65.4","18.0","18.0","18.0","18.0","18.5","54.0","16","10.3","-1.10","17.2","146.9","13.","1","291.8","5","eng","2023","1",125,140,"Engleberg"
"324","HOERL Jan","AUT","16 OCT 1998","46","91.4","130.5","69.9","18.5","18.0","18.0","18.0","18.5","54.5","17","","-1.31","20.5","144.9","12.","2","291.8","5","eng","2023","1",125,140,"Engleberg"
"325","PREVC Domen","SLO","4 JUN 1999","32","91.1","135.5","78.9","18.5","18.0","18.0","18.5","18.5","55.0","17","5.1","-0.49","7.7","146.7","14.","1","288.5","5","eng","2023","1",125,140,"Engleberg"
"326","PREVC Domen","SLO","4 JUN 1999","32","91.5","127.5","64.5","18.0","18.5","17.5","17.5","17.5","53.0","17","","-1.55","24.3","141.8","15.","2","288.5","5","eng","2023","1",125,140,"Engleberg"
"327","PREVC Peter","SLO","20 SEP 1992","39","91.1","128.0","65.4","18.0","17.5","17.5","17.5","17.5","52.5","16","10.3","-1.09","17.1","145.3","16.","1","287.7","5","eng","2023","1",125,140,"Engleberg"
"328","PREVC Peter","SLO","20 SEP 1992","39","91.8","130.0","69.0","18.5","18.0","18.0","18.0","18.0","54.0","17","","-1.24","19.4","142.4","14.","2","287.7","5","eng","2023","1",125,140,"Engleberg"
"329","NIKAIDO Ren","JPN","24 MAY 2001","23","91.8","135.0","78.0","18.0","17.5","18.0","18.0","18.0","54.0","18","","-0.57","8.9","140.9","25.","1","285.7","5","eng","2023","1",125,140,"Engleberg"
"330","NIKAIDO Ren","JPN","24 MAY 2001","23","91.3","129.0","67.2","18.0","18.0","18.0","18.0","18.0","54.0","17","","-1.51","23.6","144.8","13.","2","285.7","5","eng","2023","1",125,140,"Engleberg"
"331","PEIER Killian","SUI","28 MAR 1995","20","92.3","133.0","74.4","17.5","18.0","18.0","17.5","18.5","53.5","18","","-1.01","15.8","143.7","18.","1","285.0","5","eng","2023","1",125,140,"Engleberg"
"332","PEIER Killian","SUI","28 MAR 1995","20","91.6","134.0","76.2","19.0","18.5","18.5","18.5","18.5","55.5","17","","-0.61","9.6","141.3","16.","2","285.0","5","eng","2023","1",125,140,"Engleberg"
"333","BRESADOLA Giovanni","ITA","17 FEB 2001","17","91.8","130.5","69.9","18.0","17.5","17.5","18.0","18.0","53.5","18","","-1.44","22.6","146.0","15.","1","283.1","5","eng","2023","1",125,140,"Engleberg"
"334","BRESADOLA Giovanni","ITA","17 FEB 2001","17","91.4","125.5","60.9","18.0","18.0","17.5","17.5","17.5","53.0","17","","-1.48","23.2","137.1","20.","2","283.1","5","eng","2023","1",125,140,"Engleberg"
"335","GEIGER Karl","GER","11 FEB 1993","48","91.1","124.0","58.2","17.5","17.5","17.0","17.0","17.5","52.0","16","10.3","-1.37","21.5","142.0","22.","1","283.0","5","eng","2023","1",125,140,"Engleberg"
"336","GEIGER Karl","GER","11 FEB 1993","48","91.7","128.0","65.4","18.0","17.5","18.0","18.0","18.0","54.0","17","","-1.38","21.6","141.0","17.","2","283.0","5","eng","2023","1",125,140,"Engleberg"
"337","STOCH Kamil","POL","25 MAY 1987","9","91.2","127.0","63.6","18.0","17.0","17.5","18.0","17.5","53.0","18","","-1.70","26.6","143.2","20.","1","280.3","5","eng","2023","1",125,140,"Engleberg"
"338","STOCH Kamil","POL","25 MAY 1987","9","90.7","132.5","73.5","18.0","17.5","17.5","17.5","17.5","52.5","17","","-0.71","11.1","137.1","20.","2","280.3","5","eng","2023","1",125,140,"Engleberg"
"339","ZYLA Piotr","POL","16 JAN 1987","31","91.1","133.0","74.4","18.0","17.5","17.5","17.5","18.0","53.0","17","5.1","-0.47","7.4","139.9","27.","1","280.2","5","eng","2023","1",125,140,"Engleberg"
"340","ZYLA Piotr","POL","16 JAN 1987","31","91.5","133.0","74.4","16.0","15.5","17.0","16.5","16.5","49.0","17","","-1.08","16.9","140.3","18.","2","280.2","5","eng","2023","1",125,140,"Engleberg"
"341","ZOGRAFSKI Vladimir","BUL","14 JUL 1993","27","91.5","131.5","71.7","18.0","17.5","18.0","18.0","18.0","54.0","18","","-1.22","19.1","144.8","17.","1","276.7","5","eng","2023","1",125,140,"Engleberg"
"342","ZOGRAFSKI Vladimir","BUL","14 JUL 1993","27","90.8","127.0","63.6","18.0","18.0","17.5","17.5","17.5","53.0","17","","-0.98","15.3","131.9","24.","2","276.7","5","eng","2023","1",125,140,"Engleberg"
"343","HAMANN Martin","GER","10 APR 1997","24","91.8","133.0","74.4","18.5","18.0","18.0","17.5","18.0","54.0","18","","-0.97","15.2","143.6","19.","1","276.4","5","eng","2023","1",125,140,"Engleberg"
"344","HAMANN Martin","GER","10 APR 1997","24","91.3","136.0","79.8","17.5","17.0","17.0","16.5","17.0","51.0","17","","-0.13","2.0","132.8","23.","2","276.4","5","eng","2023","1",125,140,"Engleberg"
"345","KOBAYASHI Junshiro","JPN","11 JUN 1991","22","91.4","137.0","81.6","18.0","17.5","18.0","17.5","16.5","53.0","18","","-0.45","7.0","141.6","23.","1","273.4","5","eng","2023","1",125,140,"Engleberg"
"346","KOBAYASHI Junshiro","JPN","11 JUN 1991","22","91.0","124.0","58.2","17.0","17.0","17.0","17.0","16.5","51.0","17","","-1.44","22.6","131.8","25.","2","273.4","5","eng","2023","1",125,140,"Engleberg"
"347","LEYHE Stephan","GER","5 JAN 1992","44","91.1","122.5","55.5","17.5","17.5","17.5","17.5","17.5","52.5","16","10.3","-1.32","20.7","139.0","29.","1","268.4","5","eng","2023","1",125,140,"Engleberg"
"348","LEYHE Stephan","GER","5 JAN 1992","44","91.8","123.5","57.3","17.5","17.5","17.5","17.5","17.5","52.5","17","","-1.25","19.6","129.4","26.","2","268.4","5","eng","2023","1",125,140,"Engleberg"
"349","HUBER Daniel","AUT","2 JAN 1993","21","91.7","133.0","74.4","18.0","18.0","18.0","18.0","18.0","54.0","18","","-0.81","12.7","141.1","24.","1","263.0","5","eng","2023","1",125,140,"Engleberg"
"350","HUBER Daniel","AUT","2 JAN 1993","21","91.2","121.5","53.7","16.0","16.5","16.0","16.0","16.0","48.0","17","","-1.29","20.2","121.9","29.","2","263.0","5","eng","2023","1",125,140,"Engleberg"
"351","AIGRO Artti","EST","29 AUG 1999","12","91.4","127.0","63.6","17.0","17.5","17.0","17.0","17.0","51.0","18","","-1.58","24.7","139.3","28.","1","262.4","5","eng","2023","1",125,140,"Engleberg"
"352","AIGRO Artti","EST","29 AUG 1999","12","91.1","122.5","55.5","17.0","17.5","17.0","17.0","17.0","51.0","17","","-1.06","16.6","123.1","28.","2","262.4","5","eng","2023","1",125,140,"Engleberg"
"353","VILLUMSTAD Fredrik","NOR","21 MAR 1999","5","91.6","127.5","64.5","18.0","18.0","17.5","18.0","17.5","53.5","18","","-1.31","20.5","138.5","31.","1","138.5","5","eng","2023","1",125,140,"Engleberg"
"354","AMMANN Simon","SUI","25 JUN 1981","18","92.2","125.0","60.0","17.0","17.0","17.0","17.0","17.0","51.0","18","","-1.71","26.8","137.8","32.","1","137.8","5","eng","2023","1",125,140,"Engleberg"
"355","KUBACKI Dawid","POL","12 MAR 1990","26","91.9","128.0","65.4","18.0","18.0","18.0","18.0","17.5","54.0","18","","-1.15","18.0","137.4","33.","1","137.4","5","eng","2023","1",125,140,"Engleberg"
"356","KOUDELKA Roman","CZE","9 JUL 1989","3","91.7","129.5","68.1","18.0","18.0","18.0","18.0","18.0","54.0","18","","-0.92","14.4","136.5","34.","1","136.5","5","eng","2023","1",125,140,"Engleberg"
"357","VALTO Kasperi","FIN","3 JUL 2003","14","91.8","120.0","51.0","17.0","16.5","17.0","17.0","16.5","50.5","18","","-1.60","25.1","126.6","35.","1","126.6","5","eng","2023","1",125,140,"Engleberg"
"358","WASEK Pawel","POL","2 JUN 1999","15","91.7","120.5","51.9","17.0","17.5","17.0","17.0","17.5","51.5","18","","-1.35","21.1","124.5","36.","1","124.5","5","eng","2023","1",125,140,"Engleberg"
"359","NOUSIAINEN Eetu","FIN","29 APR 1997","8","92.2","119.0","49.2","17.0","17.0","16.5","17.5","17.0","51.0","18","","-1.53","24.0","124.2","37.","1","124.2","5","eng","2023","1",125,140,"Engleberg"
"360","VASSILYEV Danil","KAZ","22 JUL 2004","4","91.3","122.0","54.6","17.0","17.0","17.0","17.0","17.0","51.0","18","","-1.19","18.6","124.2","37.","1","124.2","5","eng","2023","1",125,140,"Engleberg"
"361","FRANTZ Tate","USA","28 MAR 2005","7","91.6","117.0","45.6","16.5","16.5","17.0","16.5","16.5","49.5","18","","-1.79","28.0","123.1","39.","1","123.1","5","eng","2023","1",125,140,"Engleberg"
"362","AALTO Antti","FIN","2 APR 1995","29","92.0","118.5","48.3","17.5","17.5","17.0","16.5","17.5","52.0","18","","-1.33","20.8","121.1","40.","1","121.1","5","eng","2023","1",125,140,"Engleberg"
"363","IPCIOGLU Fatih","TUR","28 SEP 1997","1","91.1","122.5","55.5","16.5","16.5","16.5","16.5","16.0","49.5","18","","-0.79","12.4","117.4","41.","1","117.4","5","eng","2023","1",125,140,"Engleberg"
"364","FOUBERT Valentin","FRA","17 AUG 2002","2","91.1","123.0","56.4","17.0","17.0","17.0","17.0","17.0","51.0","18","","-0.56","8.8","116.2","42.","1","116.2","5","eng","2023","1",125,140,"Engleberg"
"365","BELSHAW Erik","USA","23 AUG 2004","13","91.5","113.0","38.4","16.5","16.5","16.5","16.5","16.0","49.5","18","","-1.59","24.9","112.8","43.","1","112.8","5","eng","2023","1",125,140,"Engleberg"
